,Car_Model,Configuration,Type,Discounted_Price,Location
745,2014 Maruti Alto 800,"48,946 KM
2ND OWNER
PETROL
KA-05",LXIManual,"₹2,47,000
₹2,60,000","Bellahalli, Bengaluru"
746,2017 Maruti Swift,"94,926 KM
1ST OWNER
DIESEL
KA-05",VDI (O)Manual,"₹6,37,000
₹7,05,000","Bellahalli, Bengaluru"
747,2014 Maruti Swift,"71,336 KM
1ST OWNER
PETROL
KA-05",VXIManual,"₹4,37,000
₹4,98,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
748,2014 Hyundai Eon,"46,345 KM
2ND OWNER
PETROL
KA-41",SPORTZManual,"₹2,83,000
₹3,06,000","Bellahalli, Bengaluru"
749,2018 Maruti Swift,"46,009 KM
1ST OWNER
PETROL
KA-05",VXI AMTAutomatic,"₹6,16,000
₹7,05,000","Bellahalli, Bengaluru"
750,2010 Maruti Wagon R 1.0,"1,31,140 KM
1ST OWNER
PETROL
KA-20",VXIManual,"₹2,38,000
₹2,92,000","Bellahalli, Bengaluru"
751,2014 Maruti Swift,"1,13,521 KM
1ST OWNER
PETROL
KA-05",VXIManual,"₹4,50,000
₹5,04,000","Bellahalli, Bengaluru"
752,2013 Maruti Wagon R 1.0,"83,560 KM
1ST OWNER
PETROL
KA-19",VXIManual,"₹3,16,000
₹3,29,000","Bellahalli, Bengaluru"
753,2014 Hyundai Grand i10,"40,546 KM
1ST OWNER
PETROL
KA-53",SPORTZ 1.2 KAPPA VTVTManual,"₹4,46,000
₹5,03,000","Bellahalli, Bengaluru"
754,2013 Maruti Swift,"92,529 KM
1ST OWNER
PETROL
KA-19",VXIManual,"₹4,15,000
₹4,55,000","Bellahalli, Bengaluru"
755,2015 Maruti Swift,"71,884 KM
2ND OWNER
DIESEL
KA-03",ZDIManual,"₹6,36,000
₹6,73,000","Bellahalli, Bengaluru"
756,2018 Maruti Alto K10,"32,278 KM
1ST OWNER
PETROL
KA-51",VXI (O)Manual,"₹3,68,000
₹4,13,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
757,2010 Maruti A Star,"64,103 KM
2ND OWNER
PETROL
KA-02",VXIManual,"₹2,18,000
₹2,36,000","Hosur Road, Singasandra, Bengaluru"
758,2012 Honda Brio,"66,434 KM
2ND OWNER
PETROL
KA-05",S MTManual,"₹3,42,000
₹3,75,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
759,2017 Maruti Swift,"47,038 KM
1ST OWNER
PETROL
KA-41",VXI OManual,"₹5,94,000
₹6,16,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
760,2020 Maruti S PRESSO,"21,226 KM
1ST OWNER
PETROL
KA-63",VXI+Manual,"₹4,32,000
₹4,89,000","Bellahalli, Bengaluru"
761,2017 Hyundai i20 Active,"46,947 KM
1ST OWNER
PETROL
KA-03",1.2 SXManual,"₹6,76,000
₹7,17,000","GT World Mall, Bengaluru"
762,2010 Hyundai i10,"46,972 KM
2ND OWNER
PETROL
KA-51",SPORTZ 1.2 KAPPA2Manual,"₹2,85,000
₹3,08,000","Horamavu Agara Road, Bengaluru"
763,2018 Maruti Swift,"42,162 KM
2ND OWNER
PETROL
KA-03",VXI AMTAutomatic,"₹6,55,000
₹7,05,000","Bellahalli, Bengaluru"
764,2011 Maruti Swift,"60,020 KM
1ST OWNER
PETROL
KA-05",VXIManual,"₹3,92,000
₹4,11,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
765,2012 Maruti Alto 800,"88,416 KM
2ND OWNER
PETROL
KA-02",LXIManual,"₹2,18,000
₹2,50,000","Bellahalli, Bengaluru"
766,2021 Hyundai NEW I20,"40,429 KM
2ND OWNER
PETROL
KA-16",ASTA 1.0 GDI TURBO DCTAutomatic,"₹9,60,000
₹10,11,000","Bellahalli, Bengaluru"
767,2012 Maruti Alto 800,"48,775 KM
2ND OWNER
PETROL
KA-05",LXIManual,"₹2,36,000
₹2,60,000","GT World Mall, Bengaluru"
768,2011 Maruti Ritz,"67,150 KM
1ST OWNER
PETROL
KA-03",VXIManual,"₹3,40,000
₹3,59,000","Bellahalli, Bengaluru"
769,2011 Maruti Alto K10,"25,928 KM
1ST OWNER
PETROL
KA-05",VXIManual,"₹2,43,000
₹2,66,000","Hosur Road, Singasandra, Bengaluru"
770,2011 Hyundai Santro Xing,"66,123 KM
1ST OWNER
PETROL
KA-53",GL PLUSManual,"₹2,82,000
₹3,00,000","Horamavu Agara Road, Bengaluru"
771,2013 Maruti Swift,"72,984 KM
1ST OWNER
PETROL
KA-53",LXIManual,"₹4,27,000
₹4,33,000","Bellahalli, Bengaluru"
772,2013 Maruti Swift,"69,124 KM
1ST OWNER
PETROL
KA-25",VXIManual,"₹4,35,000
₹5,07,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
773,2011 Maruti Alto K10,"68,730 KM
2ND OWNER
PETROL
KA-53",VXIManual,"₹2,24,000
₹2,60,000","Bellahalli, Bengaluru"
774,2015 Maruti Swift,"59,296 KM
1ST OWNER
PETROL
MP-04",VXIManual,"₹4,90,000
₹5,00,000","Hosur Road, Singasandra, Bengaluru"
775,2011 Maruti Alto K10,"58,552 KM
1ST OWNER
PETROL
KA-05",VXIManual,"₹2,31,000
₹2,63,000","Hosur Road, Singasandra, Bengaluru"
776,2016 Maruti Baleno,"22,199 KM
1ST OWNER
PETROL
KA-03",ZETA PETROL 1.2Manual,"₹6,45,000
₹7,14,000","Bellahalli, Bengaluru"
777,2012 Hyundai i20,"40,562 KM
1ST OWNER
DIESEL
KA-51",ERA 1.4 CRDIManual,"₹4,45,000
₹4,62,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
778,2016 Maruti Alto K10,"20,944 KM
1ST OWNER
PETROL
KA-04",VXI AMTAutomatic,"₹3,87,000
₹4,24,000","GT World Mall, Bengaluru"
779,2018 Hyundai Elite i20,"65,015 KM
1ST OWNER
PETROL
KA-40",ASTA 1.2 (O)Manual,"₹7,08,000
₹7,65,000","Bellahalli, Bengaluru"
780,2013 Maruti Swift,"69,748 KM
2ND OWNER
PETROL
KA-09",VXIManual,"₹4,24,000
₹4,84,000","Bellahalli, Bengaluru"
781,2014 Maruti Swift,"62,029 KM
1ST OWNER
PETROL
KA-03",VXIManual,"₹4,93,000
₹5,53,000","Bellahalli, Bengaluru"
782,2021 Maruti Celerio,"12,364 KM
1ST OWNER
PETROL
KA-04",ZXI AMTAutomatic,"₹6,12,000
₹6,24,000","Bellahalli, Bengaluru"
783,2010 Hyundai i20,"1,11,374 KM
1ST OWNER
PETROL
KA-51",ASTA 1.2Manual,"₹3,14,000
₹3,38,000","Bellahalli, Bengaluru"
784,2013 Hyundai i10,"78,272 KM
2ND OWNER
PETROL
KA-53",SPORTZ 1.2 ATAutomatic,"₹3,35,000
₹3,71,000","Hosur Road, Singasandra, Bengaluru"
785,2010 Hyundai i10,"43,679 KM
1ST OWNER
PETROL
KA-51",ERA 1.1Manual,"₹2,76,000
₹2,86,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
786,2012 Maruti Swift,"55,544 KM
2ND OWNER
DIESEL
KA-01",VDIManual,"₹4,54,000","Bellahalli, Bengaluru"
787,2010 Hyundai i20,"79,987 KM
1ST OWNER
PETROL
KA-04",MAGNA (O) 1.2Manual,"₹3,37,000
₹3,43,000",Sonnappanahalli
788,2014 Renault Pulse,"83,271 KM
1ST OWNER
DIESEL
KA-51",RX L DIESELManual,"₹3,36,000
₹3,71,000","Bellahalli, Bengaluru"
789,2012 Maruti Swift,"60,606 KM
2ND OWNER
PETROL
KA-41",VXIManual,"₹4,29,000
₹4,93,000","Bellahalli, Bengaluru"
790,2012 Maruti Alto 800,"68,582 KM
1ST OWNER
PETROL
KA-51",LXIManual,"₹2,39,000
₹2,85,000","Bellahalli, Bengaluru"
791,2010 Hyundai i10,"83,894 KM
2ND OWNER
PETROL
KA-05",MAGNA 1.2Manual,"₹2,68,000
₹2,84,000","Bellahalli, Bengaluru"
792,2015 Maruti Alto 800,"79,566 KM
2ND OWNER
PETROL
KA-03",LXIManual,"₹2,58,000
₹2,97,000","Bellahalli, Bengaluru"
793,2021 Maruti Alto,"2,368 KM
1ST OWNER
PETROL
KA-05",VXI PLUSManual,"₹4,44,000
₹4,78,000","Bellahalli, Bengaluru"
794,2016 Maruti Swift,"41,107 KM
1ST OWNER
PETROL
KA-07",VXI OManual,"₹5,27,000
₹6,06,000","Horamavu Agara Road, Bengaluru"
795,2011 Maruti Wagon R 1.0,"69,138 KM
2ND OWNER
PETROL
KA-53",VXIManual,"₹2,84,000
₹3,06,000","Bellahalli, Bengaluru"
796,2015 Maruti Swift,"87,753 KM
1ST OWNER
DIESEL
KA-04",VDI ABSManual,"₹5,74,000
₹6,05,000","Horamavu Agara Road, Bengaluru"
797,2017 Renault Kwid,"43,775 KM
1ST OWNER
PETROL
KA-50",RXT 0.8Manual,"₹3,71,000
₹3,88,000","Bellahalli, Bengaluru"
798,2010 Maruti Wagon R 1.0,"87,820 KM
1ST OWNER
PETROL
KA-05",LXIManual,"₹2,60,000
₹2,79,000","Hosur Road, Singasandra, Bengaluru"
799,2017 Renault Kwid,"64,024 KM
1ST OWNER
PETROL
KA-02",RXT 1.0Manual,"₹3,67,000
₹3,99,000",Sonnappanahalli
800,2016 Maruti Swift,"72,338 KM
1ST OWNER
PETROL
KA-53",VXIManual,"₹5,84,000
₹6,36,000","Bellahalli, Bengaluru"
801,2010 Hyundai i10,"54,998 KM
1ST OWNER
PETROL
KA-51",MAGNA 1.2Manual,"₹2,83,000
₹2,91,000","Bellahalli, Bengaluru"
802,2014 Maruti Alto 800,"28,800 KM
1ST OWNER
PETROL
KA-01",LXIManual,"₹2,87,000
₹3,11,000","Horamavu Agara Road, Bengaluru"
803,2010 Maruti Wagon R 1.0,"89,928 KM
1ST OWNER
PETROL
KA-03",VXIManual,"₹2,69,000
₹2,89,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
804,2013 Maruti Wagon R 1.0,"58,323 KM
1ST OWNER
PETROL
KA-02",VXIManual,"₹3,66,000
₹3,96,000","Bellahalli, Bengaluru"
805,2011 Maruti Swift,"1,02,814 KM
1ST OWNER
PETROL
KA-03",VXIManual,"₹3,90,000
₹4,17,000","Bellahalli, Bengaluru"
806,2012 Maruti Swift,"1,06,516 KM
1ST OWNER
DIESEL
KA-01",VDIManual,"₹4,48,000
₹4,69,000","Bellahalli, Bengaluru"
807,2010 Maruti Alto K10,"38,144 KM
2ND OWNER
PETROL
KA-41",LXIManual,"₹2,23,000
₹2,33,000","Hosur Road, Singasandra, Bengaluru"
808,2013 Maruti Alto 800,"43,382 KM
2ND OWNER
PETROL
KA-02",VXIManual,"₹2,78,000","Hosur Road, Singasandra, Bengaluru"
809,2016 Hyundai Grand i10,"40,792 KM
2ND OWNER
PETROL
KA-53",SPORTZ 1.2 KAPPA VTVTManual,"₹4,78,000","Bellahalli, Bengaluru"
810,2010 Maruti Ritz,"86,017 KM
2ND OWNER
PETROL
KA-41",VXIManual,"₹2,83,000","Hosur Road, Singasandra, Bengaluru"
811,2016 Hyundai Grand i10,"31,749 KM
2ND OWNER
PETROL
KA-03",ASTA (O) AT 1.2 KAPPA VTVTAutomatic,"₹5,35,000","Bellahalli, Bengaluru"
